N;a;m;e
J;o;i;n;e;d;T;a;b;l;e
Май_МиМО_MVNO2_МО_2405;may_upsale_mimo_mvno2_mo_2405
Фев_Центр_ТВ2_Минимум_1102;feb_ctm_center_tv2_minimum_1102
Май_ЮГ_ТВ2_Минимум2_0505;may_ctm_south_tv2_minimum2_0505
Интернет-Bee_June_MSK_1006;Bee_June_MSK_1006
Март_Урал_Гарантия11_3003;march_upsale_ural_warranty11_3003
Билайн Возврат АБО;dbo.[A_TaskManager_LocalList_406655da-2e6c-4b18-a3b9-04e9ce28e1ae_0]
Фев_СЗФО_ТВ3_Технология_развлечения_Мурманск_0902;feb_ctm_szfo_tv3_entertainment_technology_murmansk_0902
Апр_СЗФО_ТВ5_Минимум22_2904;april_ctm_szfo_tv5_minimum22_2904
Апр_Центр_Касперский_0504;april_upsale_center_kaspersky_0504
Март_СЗФО_Гарантия_0403;march_upsale_szfo_warranty_0403
Март_СЗФО_Трансформер2_1503;march_upsale_szfo_transformer2_1503
Март_Урал_Трансформер11_3103;march_upsale_ural_transformer11_3103
Март_ДВ_Трансформер_0503;march_upsale_dv_transformer_0503
Апр_Центр_Трансформер_0104;april_upsale_center_transformer_0104
Апр_СЗФО_ВИП_0504;april_upsale_szfo_vip_0504
Фев_Центр_ВИП_0202;feb_upsale_centr_vip_0202
Май_Урал_ТВ1_Базовый_Стартовый_1605;may_ctm_ural_tv1_base_startoviy_1605
Апр_СЗФО_Трансформер_3103;april_upsale_szfo_transformer_3103
Март_ЮГ_Касперский _Гарантия_2303;march_upsale_south_kaspersky_warranty_2303
test3;dbo.[A_TaskManager_LocalList_ee1437a2-781a-4829-ae65-11cc8589f6a7_0]
Март_ЮГ_ТВ4_Минимум_0903;march_ctm_south_tv4_minimum_0903
Май_МиМО_ТВ1_Технология_развлечения_2904;may_ctm_mimo_tv1_entertainment_technology_2904
Интернет-Bee_June_MSK1_2205;Bee_June_MSK1_2205
Интернет-Bee_Mar_EAST1_0403;Bee_Mar_EAST1_0403
Oct_Sovest_11000_0310;Oct_Sovest_11000_0310
Oct_Sovest_4000_1910;dbo.[A_TaskManager_LocalList_db1f3b23-a3dd-406f-88b3-1451d1c858cd_0]
Март_Сибирь_Трансформер11_3103;march_upsale_siberia_transformer11_3103
upsale_tariff_id;upsale_tariff_id
Фев_СЗФО_Технология_развлечения_3101;feb_ctm_szfo_entertainment_technology_3101
Апр_МиМО_Роутер_ONT_0704;april_ctm_mimo_router_ont_0704
Март_Сибирь_ТВ2_МВНО_1103;March_ctm_siberia_tv2_mvno_1103
Статусы РТК;[Статусы РТК]
Апр_СЗФО_ТВ3_Базовый_Стартовый_3003;april_ctm_szfo_tv3_base_startoviy_3003
Интернет-Bee_July_MSK2_0707;Bee_July_MSK2_0707
Апр_Урал_ТВ1_Минимум_0404;april_ctm_ural_tv1_minimum_0404
Апр_Сибирь_Гарантия_0404;april_upsale_siberia_warranty_0404
Апр_МиМО_Роутер_FTTB_0704;april_ctm_mimo_router_fttb_0704
Фев_Урал_Трансформер_1702;feb_upsale_ural_transformer_1702
СДЭК обработанные;[CDEK_BASE_TEMP]
Май_Центр_ТВ2_МВНО_1105;may_ctm_center_tv2_mvno_1105
Март_СЗФО_Трансформер_0503;march_upsale_szfo_transformer_0503
Фев_Сибирь_ВИП_0402;feb_upsale_siberia_vip_0402
Апр_ЮГ_ВИП_1304;april_upsale_south_vip_1304
Апр_СЗФО_ТВ5_Минимум2_1404;april_ctm_szfo_tv5_minimum2_1404
client_anket;client_anket
Май_СЗФО_ДрВеб_3004;may_upsale_szfo_drweb_3004
Омнитех выполненные;OMNI_BASE_TEMP
Мини-КАСКО Исход обзвон статистика;dbo.[A_TaskManager_LocalList_da2ec11c-a4a2-4613-b276-2982c97f98ec_0]
Апр_СЗФО_ТВ6_МВНО11_2904;april_ctm_szfo_tv6_mvno11_2904
Oct_Sovest_3000_0910;Oct_Sovest_3000_0910
test;dbo.[A_TaskManager_LocalList_7bbc09f1-bfa8-4f17-b801-2d3bb6b19919_0]
Апр_Урал_Трансформер_0104;april_upsale_ural_transformer_0104
Nov_Irkutsk_cards_2411;Nov_Irkutsk_cards_2411
Apr_V_Puti_0204;Apr_V_Puti_0204
СДЭК входящие;CDEK_IN
Май_ЮГ_ТВ3_Технология_развлечения_1805;may_ctm_south_tv3_entertainment_technology_1805
Билайн Возврат задолженности IVR;dbo.[A_TaskManager_LocalList_45a490f0-271d-40d5-88b6-2fbd14fd8fe1_0]
Нояб_Робот_Москва_1711;nov_robot_moscow_1711
Фев_МиМО_ТВ3_МВНО_МО_1402;feb_ctm_mimo_tv3_mvno_mo_1402
Интернет-Bee_Apr_region_1704;Bee_Apr_region_1704
Татарстан;tatarstan1
Март_СЗФО_Гарантия2_0503;march_upsale_szfo_warranty_0503
Апр_ЮГ_Старт _Гарантия_3103;april_upsale_south_start_warranty_3103
Май_Урал_ТВ4_Технология_развлечения_2605;may_ctm_ural_tv4_entertainment_technology_2605
Перезвон;Perezvon
Номера Билайн;beeline_numbers
Фев_МиМО_Трансформер_0102;fev_upsale_mimo_transformer_0102
СДЭК список компаний;sdek_companies
Май_УРАЛ_Гарантия_0605;may_upsale_ural_warranty_0605
Апр_СЗФО_ТВ7_МВНО_1804;april_ctm_szfo_tv7_mvno_1804
Май_МиМО_MVNO_МСК_0205;may_upsale_mimo_mvno_msk_0205
Май_Центр_ВИП_2904;may_upsale_centr_vip_2904
Nov_cards_centr3_2411;Nov_cards_centr3_2411
Апр_Волга_Касперский11_2204;april_upsale_volga_kaspersky11_2204
Фев_ЦЕНТР_ВИП2_0902;feb_upsale_center_vip2_0902
Фев_СЗФО_ТВ6_МВНО_1802;feb_ctm_szfo_tv6_mvno_1802
Интернет-Bee_June_msk_conv_2205;Bee_June_msk_conv_2205
Май_СИБИРЬ_Винк_5в1_1205;may_upsale_siberia_wink5in1_1205
Апр_СЗФО_ТВ4_Технология_развлечения_0104;april_ctm_szfo_tv4_entertainment_technology_0104
Фев_Сибирь_Трансформер_2202;feb_upsale_siberia_transformer_2202
Апр_Урал_ТВ4_МВНО_2104;april_ctm_ural_tv4_mvno_2104
Мини-КАСКО Исход обзвон база;dbo.[A_TaskManager_LocalList_96ac29a9-63b7-47ee-95df-46af08ee540b_0]
Фев_МиМО_ХОЛОД_КВЕРТИ11_1002;feb_ctm_mimo_cold_qwerty11_1002
Май_Сибирь_ВИП_3004;may_upsale_siberia_vip_3004
Апр_МиМО_ТВ4_Базовый_Стартовый_1304;april_ctm_mimo_tv4_base_startoviy_1304
Интернет-Bee_July_msk_cold_0607;Bee_July_msk_cold_0607
Фев_Волга_ДрВеб_1702;feb_upsale_volga_drweb_1702
Билайн Возврат задолженности IVR обратный звонок;dbo.[A_TaskManager_LocalList_45a490f0-271d-40d5-88b6-2fbd14fd8fe1_0]
ЛК Пользователи;lk_users
Апр_Волга_Касперский_0704;april_upsale_volga_kaspersky_0704
Интернет-Bee_Mar_east3_0903;Bee_Mar_east3_0903
Май_СИБИРЬ_ВН_2405;may_ctm_siberia_vn_2405
Фев_МиМО_ТВ1_МО_0202;feb_ctm_mimo_tv1_mo_0202
Март_Сибирь_ТВ4_МВНО_1703;March_ctm_siberia_tv4_mvno_1703
Aug_qiwi_6800;Aug_qiwi_6800
Апр_ДВ_Трансформер_1804;apr_upsale_dv_transformer_1804
!Стоимость услуг;[cost_of_service]
Март_Волга_ТВ1_Базовый_Стартовый_0103;march_ctm_volga_tv1_base_startoviy_0103
TEST_NASTROY_KINO;TEST_NASTROY_KINO
Фев_СЗФО_Трансформер_1502;feb_upsale_szfo_transformer_150
Фев_СЗФО_ТВ2_Стартовый_0102;feb_ctm_szfo_tv2_startoviy_0102
Интернет-Bee_July_reg60k_2207;Bee_July_reg60k_2207
Интернет-Bee_Aug_msk_2907;Bee_Aug_msk_2907
Фев_МиМО_ТВ4_МВНО_МОСКВА_2102;feb_ctm_mimo_tv4_mvno_moskva_2102
TEST_BR;TEST_BR
РТК АВТО;[RTK_AUTO]
Чита;Chita1
Nov_cards_xmao_2411;Nov_cards_xmao_2411
Апр_Урал_ТВ2_Технология_развлечения_1304;april_ctm_ural_tv2_entertainment_technology_1304
Apr_Utro;Apr_Utro
Май_Урал_ТВ1_Базовый_Стартовый11_2405;may_ctm_ural_tv1_base_startoviy11_2405
Март_Урал_Трансформер_1503;march_upsale_ural_transformer_1503
Май_Волга_ДрВеб_2904;may_upsale_volga_drweb_2904
Иркутск1;Irkutsk1
Интернет-Bee_Apr_msk2_0804;Bee_Apr_msk2_0804
Апр_МиМО_ТВ1_Минимум_0604;april_ctm_mimo_tv1_minimum_0604
July_40000;July_40000
СДЭК статусы;sdek_status
Апр_Центр_ТВ1_МВНО_1404;april_ctm_center_tv1_mvno_1404
Находка;Nahodka1
Март_СЗФО_Гарантия22_2803;march_upsale_szfo_warranty22_2803
филиалы;upsale_filials
Март_ЮГ_ТВ1_Стартовый_2802;march_ctm_south_tv1_startoviy_2802
Май_ЮГ_ВН_2505;may_ctm_south_vn_2505
СДЭК Входящие статусы;CDEK_IN_STATE
Апр_СЗФО_ТВ1_Минимум_2903;april_ctm_szfo_tv1_minimum_2903
Фев_ДВ_Гарантия_2202;feb_upsale_dv_warranty_2202
TEST_NVS;TEST_NVS
Апр_Волга_ДрВеб11_1804;april_upsale_volga_drweb11_1804
Фев_СЗФО_ВИП_1402;feb_upsale_szfo_vip_1402
Май_ЮГ_VIP_0505;may_upsale_south_vip_0505
Март_Урал_Гарантия_0103;march_upsale_ural_warranty_0103
client_table;client_table
РТК АВТО ТЛФ Поволжье;dbo.[A_TaskManager_LocalList_bcf0059a-40aa-45aa-b6a0-74b5e6011b37_0]
Март_ДВ_ВИП_1703;march_upsale_dv_vip_1703
Март_СЗФО_ДрВеб_0103;march_upsale_szfo_drweb_0103
Apr_Moneks;Apr_Moneks
TEST_GARANTIYA;TEST_GARANTIYA
Билайн Возврат;dbo.[A_TaskManager_LocalList_3e85069a-5b83-4521-8add-7805e3be3a47_0]
Апр_ЮГ_ВИП_Гарантия_1304;apr_upsale_south_vip_warranty_1304
Депертаменты и часовые пояса;dbo.[A_TaskManager_LocalList_e7729e97-2025-4006-a6fc-79245db6d963_0]
Интернет-Bee_Apr_msk_cold_1604;Bee_Apr_msk_cold_1604
Март_ЮГ_ТВ2_Технология_развлечения_2802;march_ctm_south_tv2_entertainment_technology_2802
Билайн Возврат задолженности;dbo.[A_TaskManager_LocalList_70acb0b2-6e5d-4faf-8889-7d49ea7fa451_0]
Май_Волга_ТВ1_Базовый_Стартовый_1205;may_ctm_volga_tv1_base_startoviy_1205
Март_Урал_ТВ1_Базовый_Стартовый_0403;march_ctm_ural_tv1_base_startoviy_0403
clint_t;clint_t
Фев_СЗФО_ТВ5_Технология_выгоды_1702;feb_ctm_szfo_tv5_technology_profit_1702
Интернет-Bee_June_MSKcorp_0106;Bee_June_MSKcorp_0106
Апр_МиМО_МНВО1_МО_2004;april_ctm_mimo_mnvo1_МО_2004
СДЭК temp;dbo.[A_TaskManager_LocalList_5d043ff9-6e51-41e2-b932-81fd1cfc4bb8_0]
Таблица телеканалов;[Таблица телеканалов]
Dec_xmao_nizhvar_0612;Dec_xmao_nizhvar_0612
Апр_СЗФО_ТВ1_Минимум11_2904;april_ctm_szfo_tv1_minimum11_2904
Омнитех временные зоны;TimeZone
Dec_Murmansk_paket_291116;Dec_Murmansk_paket_291116
Омни статусы;omni_status
Апр_СИБИРЬ_Трансформер_1304;april_upsale_siberia_transformer_1304
СДЭК Тестовые звонки;CDEK_TEST2
Интернет-Bee_May_MSK1000_2804;Bee_May_MSK1000_2804
Омнитех текущие;[OMNI_BASE]
temp;temp_spb
Фев_Волга_Касперский11_0802;feb_upsale_volga_kaspersky11_0802
Март_Центр_ВИП_3102;march_upsale_center_vip_3102
Фев_Волга_ДрВеб11_2202;feb_upsale_volga_drweb11_2202
Апр_МиМО_МНВО2_МОСКВА_2004;april_ctm_mimo_mnvo2_moskva_2004
Апр_МиМО_Гарантия_3103;april_upsale_mimo_warranty_3103
Март_Урал_Касперский11_2203;march_upsale_ural_kaspersky11_2203
Фев_СЗФО_Трансформер2_2202;feb_upsale_szfo_transformer2_2202
РТК АВТО ЦТМ Поволжье;dbo.[A_TaskManager_LocalList_30a261a4-0d3e-4ec9-bd75-950e42f93ede_0]
Апр_ДВ_Гарантия_0704;april_upsale_dv_warranty_0704
Март_ЮГ_Касперский _Гарантия11_3003;march_upsale_south_kaspersky_warranty11_3003
Тестовая база 111;[Тестовая база]
Апр_МиМО_ТВ3_Технология_развлечения_1104;april_ctm_mimo_tv3_entertainment_technology_1104
Фев_Центр_ТВ1_Минимум_0302;feb_ctm_center_tv1_minimum_0302
Фев_Волга_ТВ1_Минимум_0102;feb_ctm_volga_tv1_minimum_0102
РТК АВТО ТЛФ;RTK_AUTO_TLF
Фев_СЗФО_ТВ4_Технология_выгоды_1702;feb_ctm_szfo_tv4_technology_profit_1702
Май_СЗФО_ДрВеб11_0505;may_upsale_szfo_drweb11_0505
Май_СЗФО_ТВ1_Базовый_Стартовый11_2405;may_ctm_szfo_tv1_base_startoviy11_2405
Май_Урал_ТВ3_Технология_развлечения_2405;may_ctm_ural_tv3_entertainment_technology_2405
Камчатка;kamchatka1
Фев_СЗФО_ВИП2_1602;feb_upsale_szfo_vip2_1602
Oct_Sovest_1000_2110;dbo.[A_TaskManager_LocalList_f27113b9-4fb8-442d-a698-9f679e46add6_0]
Nov_cards_magadan_2411;Nov_cards_magadan_2411
Тест;dbo.[A_TaskManager_LocalList_7bc578bb-9ac8-4b97-b514-a0f0d69959ce_0]
Май_Волга_Касперский_2904;may_upsale_volga_kaspersky_2904
Sep_Sovest3000_2609;Sep_Sovest3000_2609
Март_ЮГ_ТВ3_Технология_развлечения_2802;march_ctm_south_tv3_entertainment_technology_2802
Март_Урал_Касперский_0903;march_upsale_ural_kaspersky_0903
Test_rabbit;Test_rabbit
PD Test;[PD Test]
Апр_СЗФО_ТВ7_МВНО11_2804;april_ctm_szfo_tv7_mvno11_2804
Апр_Волга_Гарантия_1104;april_upsale_volga_warranty_1104
Март_СЗФО_ВИП_0103;march_upsale_szfo_vip_0103
РТК АВТО ТЛФ МВНО Юг;rtk_auto_tlf_MBHO_ug
Май_ЮГ_ВН2_2505;may_ctm_south_vn2_2505
Dec_xmao_surgut_0612;Dec_xmao_surgut_0612
Май_ДВ_Гарантия_1105;may_upsale_dv_warranty_1105
Март_Волга_Гарантия_1703;march_upsale_volga_warranty_1703
Интернет-Bee_Apr_msk_0804;Bee_Apr_msk_0804
Nov_cards_centr1_2411;Nov_cards_centr1_2411
Сотовые операторы;[oktell_settings].[dbo].[operators]
Май_Сибирь_ТВ1_Базовый_Стартовый_1305;may_ctm_siberia_tv1_base_startoviy_1305
Интернет-Bee_July_MSK_3006;Bee_July_MSK_3006
testtt;testtt
Dec_Rostobl_paket_291116;Dec_Rostobl_paket_291116
Фев_Урал_Трансформер2_1702;feb_upsale_ural_transformer2_1702
Май_Центр_ТВ1_МВНО_0505;may_ctm_center_tv1_mvno_0505
Май_УРАЛ_DrWeb_Гарантия_1905;may_upsale_ural_drweb_warranty_1905
TEST_IGROVOY;TEST_IGROVOY
Интернет-Bee_May_MSK2_0705;Bee_May_MSK2_0705
Dec_kazan_0612;Dec_kazan_0612
Апр_МиМО_Роутер_FTTB11_1904;april_ctm_mimo_router_fttb11_1904
Билайн Реактивация;dbo.[A_TaskManager_LocalList_05b97d4e-8028-4e52-b11a-c04f6a47cdfa_0]
Май_Урал_ТВ2_Минимум_1805;may_ctm_ural_tv2_minimum_1805
Nov_alfa_2000_1411;Nov_alfa_2000_1411
Май_МиМО_MVNO2_МСК_2405;may_upsale_mimo_mvno2_msk_2405
РТРС Входящие;dbo.[A_TaskManager_LocalList_f8748e56-0da8-4ac8-875d-c24f13e968b8_0]
Март_Сибирь_ТВ1_МВНО_1103;March_ctm_siberia_tv1_mvno_1103
Фев_Волга_ВИП_0702;feb_upsale_volga_vip_0702
Март_СЗФО_ДрВеб11_2803;march_upsale_szfo_drweb11_2803
test;testt
Май_СЗФО_Гарантия_0605;may_upsale_szfo_warranty_0605
Апр_МиМО_МНВО11_МО_2904;april_ctm_mimo_mnvo11_МО_2904
СДЭК текущие;CDEK_BASE
Интернет-Bee_Apr_msk3_0804;Bee_Apr_msk3_0804
Апр_СЗФО_ТВ6_МВНО_1804;april_ctm_szfo_tv6_mvno_1804
Фев_Волга_Касперский_0202;feb_upsale_volga_kaspersky_0202
Март_Центр_Трансформер_0503;march_upsale_center_transformer_0503
тестовая база ртк;test_rtk
Май_ДВ_VIP_Гарантия_2505;may_upsale_dv_vip_warranty_2505
Доп ТВ СЗФО;rtk_auto_ctm2
РТК АВТО ЦТМ;rtk_auto_ctm
Май_Волга_ДрВеб11_0405;may_upsale_volga_drweb11_0405
Интернет-Bee_Mar_msk3_1703;Bee_Mar_msk3_1703
Фев_СЗФО_ТВ7_МВНО_1802;feb_ctm_szfo_tv7_mvno_1802
Камчатка2;Kamchatka2
Апр_МиМО_Роутер_FTTB2_1804;april_ctm_mimo_router_fttb2_1804
Март_СЗФО_ВИП2_0503;march_upsale_szfo_vip2_0503
Oct_sovest_6000_1110;Oct_sovest_6000_1110
Aug_QIWI_3;Aug_QIWI_3
Май_СЗФО_ТВ1_Базовый_Стартовый_0405;may_ctm_szfo_tv1_base_startoviy_0405
Интернет-Bee_Aug_MSK_0708;Bee_Aug_MSK_0708
Интернет-Bee_Aug_COLD_1308;Bee_Aug_COLD_1308
Интернет-Bee_Mar_center_ug_1203;Bee_Mar_center_ug_1203
Oct_Sovest_2000_1710;dbo.[A_TaskManager_LocalList_a8619f46-2d37-4963-ac8b-d82201baabe6_0]
Новороссийск;Novoross1
РТК АВТО ЦТМ Юг;rtk_auto_ctm_ug_szfo
Март_Сибирь_ТВ3_МВНО_1103;March_ctm_siberia_tv3_mvno_1103
Интернет-Bee_Mar_msk2_0403;Bee_Mar_msk2_0403
Фев_ЦЕНТР_Трансформер_0802;feb_upsale_center_transformer_0802
СДЭК ПД вечер;cdek_inn_evening
Oct_Sovest_7000_0610;dbo.[A_TaskManager_LocalList_e49592c1-812f-4d8c-8c4e-df28ebc8aaf8_0]
Апр_Урал_ТВ3_Технология_развлечения_1904;april_ctm_ural_tv3_entertainment_technology_1904
Май_Сибирь_Гарантия_0205;may_upsale_siberia_warranty_0205
Фев_ДВ_Трансформер_2402;feb_upsale_dv_transformer_2402
Май_ЮГ_ТВ1_Минимум_3004;may_ctm_south_tv1_minimum_3004
Sovest_General;Sovest_General
Фев_Сибирь_Гарантия_3101;feb_upsale_siberia_warranty_3101
СДЭК ПД утро;cdek_inn
Май_ДВ_ВИП_0505;may_upsale_dv_vip_0505
Март_Волга_ТВ2_Базовый_Стартовый_Мордовия_0103;march_ctm_volga_tv2_base_startoviy_mordoviya_0103
Sep_Sovest_2400_2509;Sep_Sovest_2400_2509
Интернет-Bee_Mar_EAST2_0403;Bee_Mar_EAST2_0403
Апр_МиМО_ТВ2_Технология_развлечения_0704;april_ctm_mimo_tv2_entertainment_technology_0704
Апр_СЗФО_ТВ2_Минимум_2903;april_ctm_szfo_tv2_minimum_2903
Май_Волга_ВИП_3004;may_upsale_volga_vip_3004
Нояб_РТК_АВТО_Москва11_1611;nov_rtk_avto_moskow11_1611
Dec_Mig_Stavr_70_0612;Dec_Mig_Stavr_70_0612
Май_Волга_Касперский11_1605;may_upsale_volga_kaspersky11_1605
Oct_sovest_3400_0810;Oct_sovest_3400_0810
Апр_СЗФО_ВИП11_2204;april_upsale_szfo_vip11_2204
Интернет-Bee_May_MSK3_1505;Bee_May_MSK3_1505
anket;anket
Nov_cards_centr2_2411;Nov_cards_centr2_2411
Март_Волга_ТВ1_Базовый_Стартовый11_3103;march_ctm_volga_tv1_base_startoviy11_3103
Апр_Урал_ДрВеб_0104;april_upsale_ural_drweb_0104
Распознавание речи;dbo.[A_TaskManager_LocalList_accf45e3-ce6a-4280-a56d-f0dcab0d78c8_0]
СДЭК автообзвон;CDEK_BASE_AUTO
Апр_Волга_ДрВеб_1304;april_upsale_volga_drweb_1304
Фев_МиМО_ХОЛОД_КВЕРТИ_0802;feb_ctm_mimo_cold_qwerty_0802
Март_Сибирь_Трансформер_0503;march_upsale_siberia_transformer_0503
Фев_ЮГ_ТВ1_Минимум_0802;feb_ctm_south_tv1_minimum_0802
Dec_Rostobl_TV_291116;Dec_Rostobl_TV_291116
Апр_Центр_ТВ2_МВНО_2604;april_ctm_center_tv2_mvno_2604
Фев_МиМО_ТВ2_Минимум_1002;feb_ctm_mimo_tv2_minimum_1002
РТК АВТО Основная 01_11_2021;dbo.[A_TaskManager_LocalList_e71bd738-2ca8-4f9e-ae88-f816ff389f46_0]
Test_cdek;Test_cdek
Май_Центр_ТВ1_МВНО2_1505;may_ctm_center_tv1_mvno2_1505
Интернет-Билайн пилот;dbo.[A_TaskManager_LocalList_78dc630d-18ff-4f66-98bd-f91076fdae0a_0]
Интернет-Bee_Mar_msk1_0403;Bee_Mar_msk1_0403
СИМ-Nov_beeline_sim_0511;Nov_beeline_sim_0511
РТК АВТО ТВ СЗФО;rtk_auto_tv_szfo
Март_Сибирь_Гарантия_0103;march_upsale_siberia_warranty_0103
Май_МиМО_MVNO_МО_0205;may_upsale_mimo_mvno_mo_0205
Фев_Волга_Трансформер_2102;feb_upsale_volga_transformer_2102
